image1,image2,label
Face_Dataset/70/0.jpg,Face_Dataset/760/1.jpg,0
Face_Dataset/20/1.jpg,Face_Dataset/563/0.jpg,0
Face_Dataset/1508/1.jpg,Face_Dataset/6/8.jpg,0
Face_Dataset/1189/32.jpg,Face_Dataset/1189/35.jpg,1
Face_Dataset/489/1.jpg,Face_Dataset/1570/1.jpg,0
Face_Dataset/117/12.jpg,Face_Dataset/117/40.jpg,1
Face_Dataset/1107/1.jpg,Face_Dataset/1107/3.jpg,1
Face_Dataset/1430/0.jpg,Face_Dataset/667/8.jpg,0
Face_Dataset/1152/3.jpg,Face_Dataset/1152/4.jpg,1
Face_Dataset/117/29.jpg,Face_Dataset/117/37.jpg,1
Face_Dataset/117/3.jpg,Face_Dataset/117/35.jpg,1
Face_Dataset/415/0.jpg,Face_Dataset/832/4.jpg,0
Face_Dataset/888/1.jpg,Face_Dataset/1388/1.jpg,0
Face_Dataset/1606/0.jpg,Face_Dataset/336/2.jpg,0
Face_Dataset/1095/0.jpg,Face_Dataset/1095/2.jpg,1
Face_Dataset/640/1.jpg,Face_Dataset/1529/6.jpg,0
Face_Dataset/1522/0.jpg,Face_Dataset/35/3.jpg,0
Face_Dataset/1017/0.jpg,Face_Dataset/1480/1.jpg,0
Face_Dataset/1082/11.jpg,Face_Dataset/1082/23.jpg,1
Face_Dataset/1007/14.jpg,Face_Dataset/1007/20.jpg,1
Face_Dataset/1254/4.jpg,Face_Dataset/888/1.jpg,0
Face_Dataset/774/0.jpg,Face_Dataset/513/4.jpg,0
Face_Dataset/180/0.jpg,Face_Dataset/1667/1.jpg,0
Face_Dataset/218/1.jpg,Face_Dataset/103/2.jpg,0
Face_Dataset/1655/4.jpg,Face_Dataset/1085/1.jpg,0
Face_Dataset/127/20.jpg,Face_Dataset/127/4.jpg,1
Face_Dataset/1288/14.jpg,Face_Dataset/1288/8.jpg,1
Face_Dataset/1161/7.jpg,Face_Dataset/1161/9.jpg,1
Face_Dataset/1088/11.jpg,Face_Dataset/1088/3.jpg,1
Face_Dataset/1074/1.jpg,Face_Dataset/787/2.jpg,0
Face_Dataset/117/39.jpg,Face_Dataset/117/4.jpg,1
Face_Dataset/444/1.jpg,Face_Dataset/676/1.jpg,0
Face_Dataset/1162/0.jpg,Face_Dataset/878/2.jpg,0
Face_Dataset/110/29.jpg,Face_Dataset/110/9.jpg,1
Face_Dataset/1189/2.jpg,Face_Dataset/1189/24.jpg,1
Face_Dataset/1559/1.jpg,Face_Dataset/419/2.jpg,0
Face_Dataset/941/0.jpg,Face_Dataset/1280/13.jpg,0
Face_Dataset/1265/0.jpg,Face_Dataset/278/4.jpg,0
Face_Dataset/117/2.jpg,Face_Dataset/117/7.jpg,1
Face_Dataset/1226/0.jpg,Face_Dataset/1226/1.jpg,1
Face_Dataset/327/0.jpg,Face_Dataset/552/4.jpg,0
Face_Dataset/1176/18.jpg,Face_Dataset/1176/9.jpg,1
Face_Dataset/770/1.jpg,Face_Dataset/981/0.jpg,0
Face_Dataset/1247/0.jpg,Face_Dataset/1247/1.jpg,1
Face_Dataset/977/3.jpg,Face_Dataset/1029/1.jpg,0
Face_Dataset/597/0.jpg,Face_Dataset/1557/10.jpg,0
Face_Dataset/111/11.jpg,Face_Dataset/111/7.jpg,1
Face_Dataset/1033/0.jpg,Face_Dataset/640/1.jpg,0
Face_Dataset/574/1.jpg,Face_Dataset/1087/1.jpg,0
Face_Dataset/1043/0.jpg,Face_Dataset/1043/4.jpg,1
Face_Dataset/1380/1.jpg,Face_Dataset/1280/9.jpg,0
Face_Dataset/1007/13.jpg,Face_Dataset/1007/9.jpg,1
Face_Dataset/1189/22.jpg,Face_Dataset/1189/6.jpg,1
Face_Dataset/1370/1.jpg,Face_Dataset/157/1.jpg,0
Face_Dataset/1288/12.jpg,Face_Dataset/1288/6.jpg,1
Face_Dataset/1189/2.jpg,Face_Dataset/1189/36.jpg,1
Face_Dataset/1165/0.jpg,Face_Dataset/416/2.jpg,0
Face_Dataset/348/1.jpg,Face_Dataset/737/1.jpg,0
Face_Dataset/117/0.jpg,Face_Dataset/117/13.jpg,1
Face_Dataset/1189/15.jpg,Face_Dataset/1189/36.jpg,1
Face_Dataset/127/12.jpg,Face_Dataset/127/20.jpg,1
Face_Dataset/110/12.jpg,Face_Dataset/110/31.jpg,1
Face_Dataset/117/1.jpg,Face_Dataset/117/20.jpg,1
Face_Dataset/1189/0.jpg,Face_Dataset/1189/11.jpg,1
